,Unnamed: 0,Country,Fertility,ISO-code,continent
169,169,Spain,1.3,ESP,Europe
170,170,Sri Lanka,2.2,LKA,Asia
171,171,Sudan,4.4,SDN,Africa
172,172,Suriname,2.4,SUR,South America
173,173,Sweden,1.8,SWE,Europe
174,174,Switzerland,1.5,CHE,Europe
175,175,Syria,2.8,SYR,Asia
176,176,Tajikistan,3.6,TJK,Asia
177,177,Tanzania,4.9,TZA,Africa
178,178,Thailand,1.5,THA,Asia
179,179,The Bahamas,1.8,BHS,
180,180,The Gambia,5.2,GMB,
181,181,Togo,4.3,TGO,Africa
182,182,Tonga,3.6,TON,Oceania
183,183,Trinidad and Tobago,1.7,TTO,North America
184,184,Tunisia,2.2,TUN,Africa
185,185,Turkey,2.1,TUR,Asia
186,186,Turkmenistan,2.8,TKM,Asia
187,187,Uganda,5.0,UGA,Africa
188,188,Ukraine,1.3,UKR,Europe
189,189,United Arab Emirates,1.4,ARE,Asia
190,190,United Kingdom,1.7,GBR,Europe
191,191,United States,1.7,USA,North America
192,192,Uruguay,2.0,URY,South America
193,193,Uzbekistan,2.4,UZB,Asia
194,194,Vanuatu,3.8,VUT,Oceania
195,195,Venezuela,2.3,VEN,South America
196,196,Vietnam,2.0,VNM,Asia
197,197,Virgin Islands,2.1,VIR,
198,198,Yemen,3.8,YEM,Asia
199,199,Zambia,4.6,ZMB,Africa
200,200,Zimbabwe,3.6,ZWE,Africa
