"country";"code";"continent";"fertility";"gdp_capita";"life_expectancy";"meat_cons";"median_age";"population_growth";"sex_ratio";"suicide_rate"
"Lesotho";"LSO";"Africa";3.1;3655;53.7;15.4;24.2;1.08;0.98;28.9
"Liberia";"LBR";"Africa";4.3;1428;63.7;7.9;17.8;2.68;1.0;13.4
"Libya";"LBY";"Africa";2.2;9446;72.7;28.6;28.9;0.84;1.05;5.5
"Lithuania";"LTU";"Europe";1.6;38751;75.7;49.5;43.7;-1.48;0.86;25.7
"Luxembourg";"LUX";"Europe";1.4;112045;82.1;141.7;39.3;2.49;1.02;10.4
"Madagascar";"MDG";"Africa";4.1;1776;66.7;17.6;19.7;2.8;1.0;6.9
"Malawi";"MWI";"Africa";4.2;1292;63.8;5.1;16.5;2.86;0.98;7.8
"Malaysia";"MYS";"Asia";2.0;34567;76.1;50.9;28.5;1.66;1.03;6.2
"Mali";"MLI";"Africa";5.9;2569;58.9;19.0;15.8;2.99;0.95;8.9
"Malta";"MLT";"Europe";1.2;49589;82.4;86.9;41.8;0.4;1.01;6.5
"Mauritania";"MRT";"Africa";4.6;5158;64.7;29.9;20.5;2.49;0.93;7.5
"Mauritius";"MUS";"Africa";1.4;26461;74.9;39.6;35.3;0.42;0.96;7.3
"Mexico";"MEX";"North America";2.1;21363;75.0;58.6;28.3;1.24;0.96;5.2
"Moldova";"MDA";"Europe";1.3;8161;71.8;22.7;36.7;-0.04;0.96;13.4
"Mongolia";"MNG";"Asia";2.9;15089;69.7;108.8;28.3;1.52;0.95;13.3
"Morocco";"MAR";"Africa";3.1;9667;76.5;20.6;29.3;1.43;1.0;3.1
"Mozambique";"MOZ";"Africa";4.9;1372;60.2;5.6;17.2;2.5;0.97;8.4
"Namibia";"NAM";"Africa";3.4;11451;63.4;34.0;21.2;1.87;0.96;11.5
"Nepal";"NPL";"Asia";1.9;3550;70.5;10.0;24.1;1.16;0.96;9.6
"Netherlands";"NLD";"Europe";1.6;60299;82.1;89.3;42.6;0.45;0.98;9.6
"New Zealand";"NZL";"Oceania";1.7;42045;82.1;142.1;37.9;0.63;1.0;11.6
"Nicaragua";"NIC";"North America";2.4;5297;74.3;14.9;25.7;1.46;0.95;11.9
"Niger";"NER";"Africa";5.3;1152;62.0;11.2;15.4;3.84;0.98;9.0
"Nigeria";"NGA";"Africa";5.4;6172;54.3;8.6;18.4;2.79;1.02;17.3
"North Macedonia";"MKD";"Europe";1.5;17378;75.7;35.4;37.9;0.08;0.99;6.2
"Norway";"NOR";"Europe";1.6;79638;82.5;61.7;39.2;1.32;1.02;10.1
"Oman";"OMN";"Asia";2.9;48593;77.6;49.8;25.6;9.13;1.18;3.5
"Pakistan";"PAK";"Asia";3.5;6016;67.1;12.3;23.8;2.69;1.04;3.1
"Panama";"PAN";"North America";2.5;28456;78.3;54.5;29.2;1.64;1.01;4.4
"Papua New Guinea";"PNG";"Oceania";3.6;4081;64.3;73.0;23.1;2.17;1.04;7.0
"Paraguay";"PRY";"South America";2.4;13213;74.1;70.3;28.2;1.72;1.0;9.3
"Peru";"PER";"South America";2.3;15399;76.5;34.5;28.0;1.25;0.96;5.1
"Philippines";"PHL";"Asia";2.6;10094;71.1;31.1;23.5;1.72;1.01;3.7
"Poland";"POL";"Europe";1.5;35651;78.5;78.1;40.7;0.02;0.94;13.4
"Portugal";"PRT";"Europe";1.4;34936;81.9;91.1;42.2;-0.29;0.9;8.6
"Romania";"ROU";"Europe";1.8;29555;75.9;54.5;41.1;-0.27;0.95;8.0
"Russia";"RUS";"Europe";1.6;30820;72.4;51.0;39.6;0.4;0.86;26.5
"Rwanda";"RWA";"Africa";4.0;2642;68.7;4.4;19.0;2.77;0.96;11.0
"Samoa";"WSM";"Oceania";3.9;6493;73.2;82.6;24.4;0.78;1.04;5.4
"Saudi Arabia";"SAU";"Asia";2.3;56912;75.0;44.6;27.5;1.88;1.3;3.4
"Senegal";"SEN";"Africa";4.6;4079;67.7;17.7;18.8;2.92;0.94;11.8
"Seychelles";"SYC";"Africa";2.4;33118;73.3;51.1;35.4;0.39;1.07;8.3
"Sierra Leone";"SLE";"Africa";4.3;1765;54.3;6.1;19.0;1.91;0.95;16.1
"Singapore";"SGP";"Asia";1.1;105689;83.8;71.1;34.6;2.45;0.96;7.9
"Slovenia";"SVN";"Europe";1.6;40344;81.2;88.0;44.5;0.26;1.0;13.3
"Solomon Islands";"SLB";"Oceania";4.4;2363;72.8;9.7;22.5;2.13;1.04;5.9
"Somalia";"SOM";"Africa";6.1;315;56.7;9.5;18.1;2.86;1.02;8.3
"South Africa";"ZAF";"Africa";2.4;13965;63.9;39.0;27.1;1.18;0.98;12.8
"South Sudan";"SSD";"Africa";4.7;1715;57.6;13.1;17.3;4.3;1.06;6.1
"Spain";"ESP";"Europe";1.3;43007;83.4;118.6;42.7;0.09;0.98;6.1
"Sri Lanka";"LKA";"Asia";2.2;14509;76.8;6.6;32.8;1.04;0.95;14.2
"Sudan";"SDN";"Africa";4.4;3986;65.1;21.0;19.9;2.08;1.01;9.5
"Suriname";"SUR";"South America";2.4;16044;71.6;40.3;29.8;0.9;1.01;23.2
"Sweden";"SWE";"Europe";1.8;55989;82.7;76.1;41.2;0.71;1.0;13.8
"Tajikistan";"TJK";"Asia";3.6;3751;70.9;8.7;24.5;2.45;0.99;3.3
"Tanzania";"TZA";"Africa";4.9;3652;65.0;10.0;17.7;3.04;1.0;9.6
